event_id,shipment_id,event_sequence,event_datetime,event_type,event_status,responsible_party,location_reference,notes
EVT00001-01,SHP00001,1,2025-08-24T08:00:00,Booking created,Completed,Forwarder,Bilbao Steel Fabricator,
EVT00001-02,SHP00001,2,2025-09-04T09:17:12,Pickup completed,Completed,Carrier,Bilbao Steel Fabricator,
EVT00001-03,SHP00001,3,2025-09-04T17:10:59,Origin port gate in,Completed,Port terminal,Bilbao,
EVT00001-04,SHP00001,4,2025-09-05T02:36:25,Vessel departed,Completed,Carrier,Bilbao,
EVT00001-05,SHP00001,5,2025-09-08T09:31:16,Destination port arrival,Completed,Port terminal,Sines,
EVT00001-06,SHP00001,6,2025-09-08T16:09:03,Customs released,Completed,Forwarder,Sines,
EVT00001-07,SHP00001,7,2025-09-09T02:26:53,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00002-01,SHP00002,1,2024-01-16T14:00:00,Booking created,Completed,Forwarder,Zaragoza Distribution Hub,
EVT00002-02,SHP00002,2,2024-01-25T15:38:31,Pickup completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00002-03,SHP00002,3,2024-01-26T15:58:12,Origin port gate in,Completed,Port terminal,Valencia,
EVT00002-04,SHP00002,4,2024-01-26T23:44:25,Vessel departed,Completed,Carrier,Valencia,
EVT00002-05,SHP00002,5,2024-01-29T14:34:40,Destination port arrival,Completed,Port terminal,Sines,
EVT00002-06,SHP00002,6,2024-01-30T01:59:53,Customs released,Completed,Forwarder,Sines,
EVT00002-07,SHP00002,7,2024-01-30T06:46:25,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00003-01,SHP00003,1,2024-10-07T12:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00003-02,SHP00003,2,2024-10-18T13:47:31,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00003-03,SHP00003,3,2024-10-18T20:43:38,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00003-04,SHP00003,4,2024-10-19T05:13:15,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00003-05,SHP00003,5,2024-10-22T20:13:21,Destination port arrival,Completed,Port terminal,Sines,
EVT00003-06,SHP00003,6,2024-10-23T09:27:06,Customs released,Completed,Forwarder,Sines,
EVT00003-07,SHP00003,7,2024-10-24T01:01:47,Delivery completed,Completed,Carrier,Sines Energy Project Site,
