fuel_month_id,month_start,diesel_eur_per_liter,mgo_eur_per_ton,vlsfo_eur_per_ton,fuel_market_note
2024-01,2024-01-01,1.442,728.3,595.61,Normal
2024-02,2024-02-01,1.426,750.22,600.04,Normal
2024-03,2024-03-01,1.545,718.87,577.53,Normal
2024-04,2024-04-01,1.522,718.2,634.03,Normal
2024-05,2024-05-01,1.532,732.78,657.75,Normal
2024-06,2024-06-01,1.479,737.49,608.9,Normal
2024-07,2024-07-01,1.51,755.36,620.3,Normal
2024-08,2024-08-01,1.512,731.31,632.95,Normal
2024-09,2024-09-01,1.54,721.15,651.26,Normal
2024-10,2024-10-01,1.578,765.82,643.25,Normal
2024-11,2024-11-01,1.461,735.2,655.07,Normal
2024-12,2024-12-01,1.529,737.57,637.96,Normal
2025-01,2025-01-01,1.516,742.72,629.14,Normal
2025-02,2025-02-01,1.58,821.11,692.07,Q1 energy spike
2025-03,2025-03-01,1.627,792.36,706.67,Q1 energy spike
2025-04,2025-04-01,1.639,797.4,674.56,Q1 energy spike
2025-05,2025-05-01,1.499,754.16,641.65,Normal
2025-06,2025-06-01,1.501,768.3,661.59,Normal
2025-07,2025-07-01,1.601,776.65,648.9,Normal
2025-08,2025-08-01,1.468,760.23,629.25,Normal
2025-09,2025-09-01,1.496,772.43,633.6,Softening market
2025-10,2025-10-01,1.501,740.02,665.84,Softening market
2025-11,2025-11-01,1.594,769.22,659.77,Normal
2025-12,2025-12-01,1.602,809.73,689.89,Normal
