incident_id,shipment_id,incident_date,incident_type,severity,location_type,location_name,root_cause,delay_hours_impact,direct_cost_eur,claim_amount_eur,preventable_flag,corrective_action
INC00035,SHP00035,2025-08-16,Delay,High,Road,Antwerp-Bruges,Carrier capacity,1.9,7200.55,414.12,N,Upgrade packaging specification
INC00036,SHP00036,2025-09-28,Equipment shortage,Medium,Port,Dammam Gas Project Site,Road permit delay,26.1,2485.82,482.96,Y,Re-brief carrier SOP
INC00039,SHP00039,2025-09-08,Cargo damage,Low,Project Site,Tarragona Equipment Vendor,Handling damage,0.0,530.55,4164.58,Y,Re-brief carrier SOP
INC00073,SHP00073,2025-07-10,Delay,Medium,Road,Cadiz Module Yard,None,14.4,1079.55,52.86,Y,No action required
INC00081,SHP00081,2025-03-15,Safety near miss,Low,Port,Tarragona Equipment Vendor,Port congestion,27.9,832.28,311.25,Y,Change terminal cut-off planning
INC00125,SHP00125,2024-11-23,Customs/documentation,High,Project Site,Zaragoza Distribution Hub,Road permit delay,14.9,21922.36,4925.4,Y,Upgrade packaging specification
INC00169,SHP00169,2025-07-23,Delay,Low,Road,Alexandria Water Project Site,Documentation issue,7.7,464.07,199.87,Y,No action required
INC00193,SHP00193,2025-05-29,Delay,Low,Port,Sines,Customs hold,13.1,781.07,291.13,Y,Change terminal cut-off planning
INC00201,SHP00201,2024-11-05,Customs/documentation,Low,Road,Valencia,Port congestion,32.8,721.88,85.2,N,Upgrade packaging specification
INC00225,SHP00225,2025-03-22,Delay,Low,Port,Algeciras,Weather disruption,26.4,112.14,42.54,Y,Upgrade packaging specification
INC00249,SHP00249,2025-07-16,Customs/documentation,Medium,Project Site,Dammam Gas Project Site,None,0.0,937.12,152.68,Y,Re-brief carrier SOP
INC00289,SHP00289,2024-06-28,Delay,Low,Port,Bilbao,None,8.1,289.39,60.5,Y,Upgrade packaging specification
INC00293,SHP00293,2025-09-14,Customs/documentation,Low,Road,Marseille-Fos,Port congestion,13.5,196.93,37.91,Y,Change terminal cut-off planning
INC00328,SHP00328,2025-04-29,Delay,Medium,Project Site,Sines Energy Project Site,Carrier capacity,12.5,4453.82,374.45,Y,Upgrade packaging specification
INC00344,SHP00344,2024-05-28,Customs/documentation,Low,Project Site,Rotterdam Consolidation Hub,None,2.8,788.12,316.77,N,Re-brief carrier SOP
INC00354,SHP00354,2025-11-14,Delay,High,Port,Zaragoza Distribution Hub,Carrier capacity,24.3,13408.32,1029.37,N,Change terminal cut-off planning
INC00367,SHP00367,2024-07-06,Customs/documentation,Low,Port,Sines,Customs hold,18.3,401.28,144.12,Y,Add route permit buffer
INC00400,SHP00400,2025-05-04,Delay,Medium,Road,Sines Energy Project Site,Carrier capacity,44.5,1252.3,489.59,Y,Add route permit buffer
INC00402,SHP00402,2025-05-31,Delay,Low,Road,Casablanca,Customs hold,7.6,558.63,232.69,Y,Change terminal cut-off planning
