port_month_id,month_start,port_id,congestion_index,congestion_level,avg_vessel_wait_hours,berth_utilization_pct,customs_clearance_avg_days,strike_flag
P001-2024-01,2024-01-01,P001,26,Low,5.1,65.6,1.27,N
P001-2024-02,2024-02-01,P001,13,Low,5.3,55.8,0.89,N
P001-2024-03,2024-03-01,P001,27,Low,7.6,58.0,0.94,N
P001-2024-04,2024-04-01,P001,28,Low,7.9,63.1,0.73,N
P001-2024-05,2024-05-01,P001,20,Low,2.2,56.2,0.74,N
P001-2024-06,2024-06-01,P001,41,Low,5.4,69.5,0.76,N
P001-2024-07,2024-07-01,P001,37,Low,9.2,74.3,1.23,N
P001-2024-08,2024-08-01,P001,29,Low,3.3,61.8,1.08,N
P001-2024-09,2024-09-01,P001,50,Medium,10.4,73.4,1.48,N
P001-2024-10,2024-10-01,P001,30,Low,5.6,60.9,0.9,N
P001-2024-11,2024-11-01,P001,40,Low,10.1,69.2,0.97,N
P001-2024-12,2024-12-01,P001,29,Low,10.3,59.7,1.04,N
P001-2025-01,2025-01-01,P001,24,Low,6.5,65.5,0.87,N
P001-2025-02,2025-02-01,P001,33,Low,4.0,65.5,1.35,N
P001-2025-03,2025-03-01,P001,12,Low,6.4,52.0,1.13,N
P001-2025-04,2025-04-01,P001,28,Low,6.3,65.7,0.91,N
P001-2025-05,2025-05-01,P001,14,Low,2.9,53.2,0.6,N
P001-2025-06,2025-06-01,P001,25,Low,6.7,65.4,1.17,N
P001-2025-07,2025-07-01,P001,21,Low,8.1,64.6,0.92,N
P001-2025-08,2025-08-01,P001,56,Medium,10.0,79.0,1.42,N
P001-2025-09,2025-09-01,P001,47,Medium,10.2,77.5,1.6,N
P001-2025-10,2025-10-01,P001,24,Low,4.2,62.4,1.35,N
P001-2025-11,2025-11-01,P001,22,Low,4.8,53.4,0.63,N
P001-2025-12,2025-12-01,P001,33,Low,8.1,69.7,1.01,N
P002-2024-01,2024-01-01,P002,26,Low,9.1,68.5,0.89,N
P002-2024-02,2024-02-01,P002,29,Low,8.6,67.2,1.28,N
P002-2024-03,2024-03-01,P002,32,Low,7.7,58.5,1.14,N
P002-2024-04,2024-04-01,P002,22,Low,5.6,63.1,0.72,N
P002-2024-05,2024-05-01,P002,37,Low,11.2,64.8,1.61,N
P002-2024-06,2024-06-01,P002,29,Low,5.4,59.9,1.31,N
P002-2024-07,2024-07-01,P002,38,Low,6.1,70.1,0.89,N
P002-2024-08,2024-08-01,P002,50,Medium,9.5,74.7,1.57,N
P002-2024-09,2024-09-01,P002,56,Medium,15.2,83.0,1.21,N
P002-2024-10,2024-10-01,P002,38,Low,8.8,67.6,1.23,N
P002-2024-11,2024-11-01,P002,49,Medium,11.7,75.0,1.06,N
P002-2024-12,2024-12-01,P002,36,Low,11.7,70.9,1.03,N
P002-2025-01,2025-01-01,P002,42,Low,8.5,71.2,1.57,N
P002-2025-02,2025-02-01,P002,18,Low,4.3,64.2,1.16,N
P002-2025-03,2025-03-01,P002,23,Low,6.0,60.3,1.13,N
P002-2025-04,2025-04-01,P002,37,Low,8.1,63.1,0.88,N
P002-2025-05,2025-05-01,P002,15,Low,2.7,63.2,0.72,N
P002-2025-06,2025-06-01,P002,42,Low,8.9,61.4,1.28,N
P002-2025-07,2025-07-01,P002,50,Medium,13.8,80.1,1.69,N
P002-2025-08,2025-08-01,P002,58,Medium,13.7,80.3,1.5,N
P002-2025-09,2025-09-01,P002,59,Medium,11.6,82.3,1.6,N
P002-2025-10,2025-10-01,P002,23,Low,5.8,60.8,1.43,N
P002-2025-11,2025-11-01,P002,34,Low,11.5,67.3,1.41,N
P002-2025-12,2025-12-01,P002,16,Low,3.9,46.6,1.01,N
P003-2024-01,2024-01-01,P003,28,Low,4.8,72.9,1.09,N
P003-2024-02,2024-02-01,P003,24,Low,3.6,59.2,1.05,N
P003-2024-03,2024-03-01,P003,26,Low,6.2,65.6,1.2,N
P003-2024-04,2024-04-01,P003,22,Low,7.1,57.4,0.32,N
P003-2024-05,2024-05-01,P003,21,Low,7.1,63.6,0.97,N
P003-2024-06,2024-06-01,P003,40,Low,4.3,65.7,1.0,N
P003-2024-07,2024-07-01,P003,47,Medium,12.3,67.1,1.23,N
P003-2024-08,2024-08-01,P003,35,Low,10.9,63.8,1.56,N
P003-2024-09,2024-09-01,P003,35,Low,5.9,67.3,1.4,N
P003-2024-10,2024-10-01,P003,37,Low,11.2,65.3,1.16,N
P003-2024-11,2024-11-01,P003,35,Low,10.4,66.5,1.45,N
P003-2024-12,2024-12-01,P003,31,Low,9.5,63.7,1.16,N
P003-2025-01,2025-01-01,P003,26,Low,4.6,52.4,0.97,N
P003-2025-02,2025-02-01,P003,23,Low,6.5,60.8,0.65,N
P003-2025-03,2025-03-01,P003,24,Low,5.0,61.6,1.0,N
P003-2025-04,2025-04-01,P003,32,Low,6.4,62.4,1.11,N
P003-2025-05,2025-05-01,P003,18,Low,6.5,55.6,0.99,N
P003-2025-06,2025-06-01,P003,31,Low,5.2,60.6,1.12,N
P003-2025-07,2025-07-01,P003,34,Low,11.2,74.6,1.32,N
P003-2025-08,2025-08-01,P003,35,Low,10.9,71.8,1.16,N
P003-2025-09,2025-09-01,P003,41,Low,9.2,65.3,1.0,N
P003-2025-10,2025-10-01,P003,18,Low,8.5,56.9,0.96,N
P003-2025-11,2025-11-01,P003,25,Low,3.8,55.9,0.83,N
P003-2025-12,2025-12-01,P003,22,Low,9.1,56.6,1.12,N
P004-2024-01,2024-01-01,P004,33,Low,8.1,58.6,1.25,N
P004-2024-02,2024-02-01,P004,28,Low,6.0,64.8,1.01,N
P004-2024-03,2024-03-01,P004,31,Low,6.7,66.7,0.99,N
P004-2024-04,2024-04-01,P004,31,Low,6.2,60.8,1.31,N
P004-2024-05,2024-05-01,P004,31,Low,5.5,66.7,1.1,N
P004-2024-06,2024-06-01,P004,28,Low,9.2,65.1,1.23,N
P004-2024-07,2024-07-01,P004,36,Low,10.8,66.0,0.95,N
P004-2024-08,2024-08-01,P004,40,Low,9.2,73.5,1.5,N
P004-2024-09,2024-09-01,P004,24,Low,9.1,61.6,1.15,N
P004-2024-10,2024-10-01,P004,32,Low,7.0,64.3,1.19,N
P004-2024-11,2024-11-01,P004,42,Low,9.8,77.5,1.23,N
P004-2024-12,2024-12-01,P004,45,Medium,4.9,74.8,1.25,N
P004-2025-01,2025-01-01,P004,35,Low,4.0,60.7,1.23,N
P004-2025-02,2025-02-01,P004,48,Medium,13.6,74.5,1.2,N
P004-2025-03,2025-03-01,P004,27,Low,6.9,66.1,0.78,N
P004-2025-04,2025-04-01,P004,37,Low,10.2,69.8,1.32,N
P004-2025-05,2025-05-01,P004,41,Low,11.1,69.7,0.82,N
P004-2025-06,2025-06-01,P004,50,Medium,13.5,71.6,1.85,N
P004-2025-07,2025-07-01,P004,24,Low,5.4,63.5,1.17,N
P004-2025-08,2025-08-01,P004,26,Low,5.9,66.4,0.93,N
P004-2025-09,2025-09-01,P004,24,Low,6.7,59.3,1.21,N
P004-2025-10,2025-10-01,P004,31,Low,9.3,72.1,1.17,N
P004-2025-11,2025-11-01,P004,41,Low,8.6,65.5,1.35,N
P004-2025-12,2025-12-01,P004,40,Low,10.0,64.9,1.32,N
P005-2024-01,2024-01-01,P005,35,Low,8.2,66.3,0.7,N
P005-2024-02,2024-02-01,P005,37,Low,9.2,71.4,1.61,N
P005-2024-03,2024-03-01,P005,38,Low,6.1,74.4,1.17,N
P005-2024-04,2024-04-01,P005,28,Low,6.4,66.6,1.44,N
P005-2024-05,2024-05-01,P005,31,Low,10.8,64.6,1.41,N
P005-2024-06,2024-06-01,P005,27,Low,7.4,58.1,1.15,N
P005-2024-07,2024-07-01,P005,41,Low,10.0,73.6,1.27,N
P005-2024-08,2024-08-01,P005,41,Low,9.8,65.0,1.58,N
