leg_id,shipment_id,leg_sequence,from_node_id,from_node_name,from_node_type,from_country,from_latitude,from_longitude,to_node_id,to_node_name,to_node_type,to_country,to_latitude,to_longitude,mode,carrier_id,vessel_id,planned_departure_datetime,actual_departure_datetime,planned_arrival_datetime,actual_arrival_datetime,planned_distance_km,actual_distance_km,planned_transit_hours,actual_transit_hours,delay_hours,delay_reason,leg_cost_eur,co2e_kg,wkt_linestring
LEG00001-1,SHP00001,1,FAC_F004,Bilbao Steel Fabricator,Vendor,Spain,43.263,-2.935,PORT_P004,Port of Bilbao,Port,Spain,43.3476,-3.0443,Road,CAR010,V014,2025-09-04T08:00:00,2025-09-04T09:17:12,2025-09-04T12:48:00,2025-09-04T17:10:59,16.6,17.2,4.8,7.9,3.1,None,484.21,23.22,"LINESTRING (-2.935 43.263, -3.0443 43.3476)"
LEG00001-2,SHP00001,2,PORT_P004,Port of Bilbao,Port,Spain,43.3476,-3.0443,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Sea Breakbulk,CAR010,V014,2025-09-05T04:07:31,2025-09-05T02:36:25,2025-09-08T10:37:31,2025-09-08T09:31:16,834.1,826.0,78.5,78.9,0.4,None,4294.05,281.7,"LINESTRING (-3.0443 43.3476, -8.8631 37.9543)"
LEG00001-3,SHP00001,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR010,V014,2025-09-09T01:54:48,2025-09-08T18:10:33,2025-09-09T10:12:48,2025-09-09T02:26:53,0.5,0.5,8.3,8.3,0,None,433.52,0.67,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00002-1,SHP00002,1,FAC_F001,Zaragoza Distribution Hub,Warehouse,Spain,41.6488,-0.8891,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,Road,CAR006,,2024-01-25T14:00:00,2024-01-25T15:38:31,2024-01-26T00:18:00,2024-01-26T15:58:12,282.3,299.4,10.3,24.3,14.0,Customs hold,680.27,23.89,"LINESTRING (-0.8891 41.6488, -0.323 39.461)"
LEG00002-2,SHP00002,2,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Container Sea,CAR006,,2024-01-26T13:03:39,2024-01-26T23:44:25,2024-01-29T00:21:39,2024-01-29T14:34:40,798.1,798.6,59.3,62.8,3.5,None,1360.04,12.07,"LINESTRING (-0.323 39.461, -8.8631 37.9543)"
LEG00002-3,SHP00002,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR006,,2024-01-29T08:50:31,2024-01-30T03:16:12,2024-01-29T14:20:31,2024-01-30T06:46:25,0.5,0.5,5.5,3.5,0,None,320.6,0.04,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00003-1,SHP00003,1,FAC_F012,Antwerp EPC Supplier Yard,Vendor,Belgium,51.2194,4.4025,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,Road,CAR006,,2024-10-18T12:00:00,2024-10-18T13:47:31,2024-10-18T18:30:00,2024-10-18T20:43:38,6.4,6.6,6.5,6.9,0.4,None,1055.27,62.66,"LINESTRING (4.4025 51.2194, 4.4009 51.2639)"
LEG00003-2,SHP00003,2,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Container Sea,CAR006,,2024-10-19T08:13:04,2024-10-19T05:13:15,2024-10-22T23:25:04,2024-10-22T20:13:21,1868.2,1970.8,87.2,87.0,0,None,14706.41,3545.31,"LINESTRING (4.4009 51.2639, -8.8631 37.9543)"
LEG00003-3,SHP00003,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR006,,2024-10-23T11:07:49,2024-10-23T13:48:04,2024-10-23T20:31:49,2024-10-24T01:01:47,0.5,0.5,9.4,11.2,1.8,None,905.11,4.75,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00004-1,SHP00004,1,FAC_F012,Antwerp EPC Supplier Yard,Vendor,Belgium,51.2194,4.4025,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,Road,CAR004,V001,2024-05-22T09:00:00,2024-05-22T11:05:02,2024-05-22T12:54:00,2024-05-22T17:42:35,5.9,6.2,3.9,6.6,2.7,None,461.13,17.51,"LINESTRING (4.4025 51.2194, 4.4009 51.2639)"
