shipment_id,project_id,order_date,requested_delivery_date,planned_pickup_datetime,actual_pickup_datetime,planned_delivery_datetime,actual_delivery_datetime,origin_facility_id,destination_facility_id,origin_port_id,destination_port_id,primary_mode,carrier_id,vessel_id,cargo_type_id,units,weight_tons,volume_cbm,length_m,width_m,height_m,oversize_flag,heavy_lift_flag,hazardous_flag,temperature_controlled_flag,service_level,incoterm,planned_distance_km,actual_distance_km,planned_transit_days,delay_hours,delay_days,late_bucket,on_time_flag,status,main_delay_reason,freight_cost_eur,fuel_surcharge_eur,port_cost_eur,customs_cost_eur,total_logistics_cost_eur,cargo_value_eur,logistics_cost_pct_cargo_value,co2e_kg,co2e_kg_per_ton_km,damage_flag,claim_amount_eur,risk_score,risk_level
SHP00001,PRJ001,2025-07-23,2025-09-15,2025-09-04T08:00:00,2025-09-04T09:17:12,2025-09-09T10:12:48,2025-09-09T02:26:53,F004,F007,P004,P005,Sea Breakbulk,CAR010,V014,CG002,3,14.21,75.6,14.11,5.36,4.28,Y,N,N,N,Standard,DAP,821.0,843.7,6,0,0.0,On time,Y,Delivered,None,5211.78,686.0,1209.89,499.05,7606.72,132058.95,0.0576,305.59,0.02549,N,0,27,Low
SHP00002,PRJ001,2024-01-12,2024-01-31,2024-01-25T14:00:00,2024-01-25T15:38:31,2024-01-29T14:20:31,2024-01-30T06:46:25,F001,F007,P001,P005,Intermodal,CAR006,,CG010,7,0.84,2.82,2.68,1.53,1.52,N,N,N,N,Standard,DDP,1110.8,1098.5,5,16.4,0.68,On time,Y,Delivered,Customs hold,2360.91,339.34,1369.85,479.73,4549.83,115266.92,0.0395,36.0,0.03901,Y,1048.72,23,Low
SHP00003,PRJ001,2024-09-18,2024-10-31,2024-10-18T12:00:00,2024-10-18T13:47:31,2024-10-23T20:31:49,2024-10-24T01:01:47,F012,F007,P007,P005,Intermodal,CAR006,,CG008,1,99.94,546.32,34.98,11.54,10.24,Y,Y,N,N,Critical,DAP,1944.2,1977.9,6,4.5,0.19,On time,Y,Delivered,None,16666.79,2568.7,3676.91,1491.69,24404.09,2716424.31,0.009,3612.72,0.01828,N,0,48,Medium
SHP00004,PRJ001,2024-05-02,2024-06-03,2024-05-22T09:00:00,2024-05-22T11:05:02,2024-05-28T03:46:48,2024-05-29T17:19:29,F012,F007,P007,P005,Sea Breakbulk,CAR004,V001,CG005,7,29.73,48.31,10.94,4.22,2.96,Y,N,N,N,Standard,EXW,2044.2,2010.9,7,37.5,1.56,1-2 days,N,Delivered,Carrier capacity,8287.89,923.57,1238.36,518.41,10968.23,975114.95,0.0112,1449.17,0.02424,N,0,34,Low
SHP00005,PRJ003,2025-05-14,2025-06-16,2025-06-04T13:00:00,2025-06-04T12:39:41,2025-06-10T04:59:48,2025-06-10T22:51:39,F002,F011,P001,P006,Intermodal,CAR006,,CG009,3,16.73,30.4,8.21,2.38,2.28,N,N,Y,Y,Standard,DAP,1981.2,1950.0,7,17.9,0.74,On time,Y,Delivered,Port congestion,3639.5,308.53,1697.51,1018.13,6663.67,117568.04,0.0567,1120.02,0.03433,N,0,30,Low
SHP00006,PRJ002,2025-06-21,2025-08-17,2025-08-03T15:00:00,2025-08-03T16:38:23,2025-08-09T03:53:59,2025-08-10T14:32:24,F012,F008,P007,P012,Sea Breakbulk,CAR010,V014,CG005,5,28.58,195.15,23.94,7.22,6.17,Y,N,N,N,Expedite,DAP,2297.5,2377.9,7,34.6,1.44,1-2 days,N,Delivered,Documentation issue,11052.08,1776.92,1686.71,807.63,15323.35,805029.78,0.019,1655.81,0.02436,N,0,49,Medium
SHP00007,PRJ001,2023-12-19,2024-02-05,2024-01-25T07:00:00,2024-01-25T07:25:39,2024-01-31T01:44:42,2024-01-31T11:43:25,F010,F007,P010,P005,Sea Breakbulk,CAR007,V005,CG005,5,17.34,80.98,13.7,4.02,4.31,Y,N,N,N,Standard,EXW,1905.6,1949.0,7,10.0,0.42,On time,Y,Delivered,Port congestion,7105.94,767.07,1193.1,780.84,9846.96,575131.37,0.0171,993.68,0.0294,N,0,39,Low
SHP00008,PRJ002,2024-02-12,2024-03-23,2024-03-14T12:00:00,2024-03-14T13:02:37,2024-03-20T00:46:05,2024-03-21T08:38:22,F010,F008,P010,P012,Intermodal,CAR006,,CG003,4,7.69,29.15,8.43,3.0,2.78,Y,N,N,N,Standard,EXW,2077.3,2139.2,7,31.9,1.33,1-2 days,N,Delivered,Customs hold,3829.34,319.23,1471.47,365.44,5985.48,402814.71,0.0149,385.28,0.02342,N,0,40,Low
SHP00009,PRJ005,2025-06-09,2025-07-15,2025-07-01T12:00:00,2025-07-01T12:54:29,2025-07-09T16:41:56,2025-07-10T01:25:26,F014,F016,P003,P016,Intermodal,CAR006,,CG004,1,60.15,233.59,32.57,7.85,7.19,Y,Y,N,N,Standard,DDP,3907.4,4011.6,9,8.7,0.36,On time,Y,Delivered,None,13947.85,1020.76,3213.61,1229.14,19411.36,1204042.98,0.0161,4840.79,0.02006,N,0,61,Medium
SHP00010,PRJ002,2025-09-28,2025-10-11,2025-10-08T15:00:00,2025-10-08T15:01:18,2025-10-11T04:02:33,2025-10-11T22:07:58,F014,F008,P003,P012,RoRo,CAR003,V006,CG006,3,45.59,133.94,21.86,6.13,5.32,Y,Y,N,N,Standard,FCA,509.9,526.5,4,18.1,0.75,On time,Y,Delivered,Road permit delay,5193.99,443.32,2772.03,1194.77,9604.11,242495.01,0.0396,1079.25,0.04496,N,0,58,Medium
